Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-11-10T19:28:21.805828Z,,CASH TOP-UP,,,USD 1290.48,USD,0.0456
2021-11-10T19:31:13.800267Z,,CASH TOP-UP,,,USD 710,USD,0.0456
2021-11-10T19:36:16.785860Z,,CASH TOP-UP,,,USD 2000,USD,0.0457
2021-11-10T19:38:19.478281Z,PLTR,BUY - MARKET,44,USD 22.36,USD 986.26,USD,0.0456
2021-11-10T19:40:09.742339Z,,CASH TOP-UP,,,USD 150,USD,0.0457
2021-11-10T19:40:39.823027Z,PATH,BUY - MARKET,20,USD 55.16,USD 1105.94,USD,0.0456
2021-11-10T19:56:28.371425Z,,CASH TOP-UP,,,USD 1000,USD,0.0456
2021-11-10T19:57:33.612229Z,VALE,BUY - MARKET,83,USD 11.98,USD 996.75,USD,0.0456
2021-11-10T20:28:12.658572Z,,CASH TOP-UP,,,USD 200,USD,0.0456
2021-11-10T20:28:30.475111Z,TSLA,BUY - MARKET,2,USD 1064.74,USD 2134.81,USD,0.0456
2021-11-10T20:46:38.034590Z,PATH,BUY - MARKET,2,USD 55.71,USD 112.69,USD,0.0456
2021-11-10T20:47:00.577362Z,VALE,BUY - MARKET,1,USD 11.98,USD 13.25,USD,0.0456
2021-11-18T10:09:52.432449Z,,CASH TOP-UP,,,USD 1130,USD,0.0450
2021-11-18T12:13:57.016102Z,,CASH WITHDRAWAL,,,USD -300,USD,0.0451
2021-11-18T12:33:32.846647Z,,CASH WITHDRAWAL,,,USD -700,USD,0.0450
2021-11-18T20:36:55.370228Z,,CASH TOP-UP,,,USD 1.24,USD,0.0450
2021-11-18T20:37:12.177440Z,,CASH TOP-UP,,,USD 5,USD,0.0450
2021-11-18T20:54:13.434408Z,PLTR,BUY - MARKET,6,USD 21.48,USD 130.10,USD,0.0450
2021-11-22T15:08:04.115823Z,VALE,SELL - MARKET,84,USD 12.15,USD 1020.66,USD,0.0443
2021-11-22T15:48:33.799476Z,PATH,BUY - MARKET,18,USD 50.59,USD 912.88,USD,0.0443
2021-11-24T07:30:49.014756Z,,CASH WITHDRAWAL,,,USD -114.70,USD,0.0442
2021-12-02T05:12:28.278251Z,,CUSTODY FEE,,,USD -0.53,USD,0.0445
2021-12-06T09:18:00.299044Z,,CASH TOP-UP,,,USD 0.53,USD,0.0446
2021-12-10T15:28:50.594245Z,,CASH TOP-UP,,,USD 458.49,USD,0.0447
2021-12-10T15:29:14.352105Z,TSLA,BUY - MARKET,0.45804616,USD 998.24,USD 458.48,USD,0.0447
2021-12-27T09:39:03.176288Z,,CASH TOP-UP,,,USD 1125.46,USD,0.0452
2021-12-28T15:14:40.352938Z,PLTR,BUY - MARKET,56,USD 18.91,USD 1058.90,USD,0.0454
2022-01-04T10:04:17.244205Z,,CUSTODY FEE,,,USD -0.63,USD,0.0457
2022-02-02T12:20:42.263056Z,,CUSTODY FEE,,,USD -0.52,USD,0.0467
2022-02-07T13:06:28.218904Z,,CASH TOP-UP,,,USD 700,USD,0.0474
2022-02-07T14:30:08.701509Z,TSLA,BUY - MARKET,0.81170588,USD 923.98,USD 750,USD,0.0472
2022-03-02T06:11:10.796062Z,,CUSTODY FEE,,,USD -0.55,USD,0.0438
2022-04-02T03:25:20.627510Z,,CUSTODY FEE,,,USD -0.58,USD,0.0455
2022-04-26T21:35:03.991584Z,,CASH TOP-UP,,,USD 656,USD,0.0434
2022-04-27T13:31:44.472887Z,TSLA,BUY - MARKET,0.7489162,USD 895,USD 670.28,USD,0.0431
2022-04-28T13:34:04.123598Z,,CASH TOP-UP,,,USD 425,USD,0.0429
2022-04-28T13:35:16.893543Z,PLTR,BUY - MARKET,39.13758079,USD 10.83,USD 425,USD,0.0429
2022-05-03T04:04:39.694942Z,,CUSTODY FEE,,,USD -0.57,USD,0.0427
2022-05-03T14:10:34.237521Z,,CASH TOP-UP,,,USD 0.57,USD,0.0428
2022-05-03T14:12:37.554535Z,,CASH TOP-UP,,,USD 60,USD,0.0428
2022-05-03T14:13:50.050589Z,PLTR,BUY - MARKET,5,USD 10.78,USD 55.08,USD,0.0428
2022-05-13T10:11:06.054401Z,,CASH TOP-UP,,,USD 418,USD,0.0420
2022-05-13T13:31:50.125631Z,TSLA,BUY - MARKET,0.54489076,USD 773.99,USD 422.91,USD,0.0420
2022-06-02T05:00:58.400832Z,,CUSTODY FEE,,,USD -0.54,USD,0.0432
2022-06-02T15:17:00.036977Z,,CASH TOP-UP,,,USD 0.54,USD,0.0436
2022-06-02T15:19:57.757922Z,,CASH TOP-UP,,,USD 523.82,USD,0.0435
2022-06-02T15:20:40.431501Z,PLTR,BUY - MARKET,30,USD 9.20,USD 275.96,USD,0.0436
2022-06-02T15:21:25.910654Z,TSLA,BUY - MARKET,0.31482772,USD 774.36,USD 245,USD,0.0436
2022-07-02T09:58:16.953827Z,,CUSTODY FEE,,,USD -0.56,USD,0.0422
2022-08-02T13:22:06.486714Z,,CUSTODY FEE,,,USD -0.69,USD,0.0415
